events,launch_speed,launch_angle,HR
field_out,61.5,41,0
force_out,95.3,-10,0
field_out,93.8,34,0
field_out,83,40,0
field_out,87.9,-2,0
field_out,92.3,30,0
single,99,9,0
field_out,78.10000000000001,-9,0
field_out,93.8,53,0
field_out,98.8,8,0
field_out,82.5,-5,0
field_out,93.9,33,0
field_out,96.8,-17,0
field_out,62.2,-34,0
force_out,46.5,-37,0
single,90.4,-2,0
field_out,97.6,43,0
field_out,93,-12,0
single,101.1,11,0
single,93,13,0
single,92,14,0
field_out,100.6,-12,0
field_out,66.4,2,0
field_out,94.3,6,0
single,53.6,-42,0
force_out,91.9,6,0
field_out,92.6,-13,0
double,81.10000000000001,19,0
single,75.60000000000001,22,0
single,70.10000000000001,28,0
field_out,95.7,2,0
single,95.8,2,0
field_out,70.4,15,0
single,80.5,22,0
field_out,96.4,48,0
double,101.5,36,0
field_out,93.7,47,0
field_out,89,18,0
grounded_into_double_play,96.6,-11,0
field_out,81.5,-9,0
field_out,50.6,-45,0
field_out,98.1,33,0
field_out,47.8,-45,0
field_out,70,-27,0
field_out,99.9,-3,0
field_out,97.8,15,0
field_out,78.4,2,0
field_out,99.1,6,0
field_out,86.5,41,0
field_out,76.80000000000001,32,0
field_out,77.10000000000001,47,0
grounded_into_double_play,71.7,-43,0
field_out,79.60000000000001,32,0
field_out,65.4,24,0
field_out,84,-1,0
single,63.1,33,0
field_out,88.5,-19,0
field_out,76.10000000000001,47,0
force_out,76.7,4,0
double,107.5,12,0
field_out,60.1,-69,0
grounded_into_double_play,78.7,-17,0
single,84.4,20,0
field_out,107.4,20,0
field_out,91.5,48,0
field_out,102.1,23,0
field_out,70.7,0,0
field_out,91.8,69,0
field_out,89.7,40,0
field_out,75.3,36,0
double,95.9,29,0
double,93,16,0
double,101.3,14,0
single,98,16,0
field_out,107.3,7,0
grounded_into_double_play,77.30000000000001,7,0
single,99.6,12,0
field_out,65.8,-20,0
field_out,75.7,42,0
double,106.2,13,0
grounded_into_double_play,84,-18,0
field_out,71.2,-5,0
single,78.10000000000001,16,0
field_out,103.1,-2,0
field_out,81.30000000000001,-17,0
field_out,81.4,54,0
field_out,63.5,55,0
field_out,83.80000000000001,10,0
field_out,74.7,-21,0
sac_fly,85.7,45,0
single,77.80000000000001,14,0
field_out,98,-4,0
field_out,89.60000000000001,-14,0
field_out,82.9,-28,0
field_out,39.2,47,0
single,89.30000000000001,13,0
triple,97.4,5,0
field_out,95.4,7,0
field_out,89.30000000000001,30,0
single,90.1,17,0
single,107.7,-5,0
field_out,85.7,-26,0
field_error,96.2,-6,0
single,108.7,7,0
home_run,104.8,29,1
field_out,101.9,23,0
field_out,91.1,28,0
field_out,101.5,1,0
field_out,90.2,-22,0
field_out,103.6,-11,0
single,93.7,2,0
single,91.4,-1,0
triple,104.5,24,0
field_out,98,7,0
field_out,69.9,-15,0
single,93.5,8,0
field_out,94.7,31,0
single,75.3,1,0
grounded_into_double_play,92.7,-21,0
force_out,91,-1,0
field_out,88.9,25,0
single,107.5,15,0
field_out,71.5,34,0
field_out,95.8,18,0
field_out,92.7,36,0
single,94.8,15,0
single,95.1,20,0
field_out,97.4,29,0
field_out,98,36,0
field_out,90.3,44,0
field_out,101.6,34,0
field_out,88.80000000000001,54,0
field_out,89.10000000000001,24,0
single,99.7,11,0
field_out,99.1,5,0
single,102.3,-32,0
single,78.9,22,0
field_out,76.2,13,0
field_out,67.9,-28,0
single,104.4,17,0
double,104.3,23,0
field_out,77.9,80,0
field_out,77.9,-21,0
double,96.3,39,0
force_out,97.7,-2,0
field_out,91.8,43,0
single,71.60000000000001,33,0
field_out,52.900000000000006,-30,0
field_out,97.1,37,0
single,107.4,13,0
field_out,60.5,11,0
single,98.7,15,0
double,105.7,15,0
double,106.3,15,0
single,91,11,0
single,87.9,-5,0
field_out,83.80000000000001,0,0
field_out,90.9,24,0
field_out,81.10000000000001,50,0
single,88.30000000000001,21,0
sac_fly,87.60000000000001,39,0
single,86.10000000000001,10,0
double,102.1,25,0
single,77.9,17,0
field_out,90.5,35,0
field_out,97.9,-28,0
field_out,106.4,3,0
field_out,89.80000000000001,42,0
single,95.6,-8,0
double_play,83.2,42,0
field_out,56.900000000000006,65,0
field_out,99.4,22,0
field_out,85.60000000000001,41,0
single,78.9,3,0
single,90.6,-9,0
field_out,67.8,-56,0
field_out,80.2,45,0
field_out,103.4,14,0
single,97.8,-10,0
field_out,72.7,-48,0
field_out,69.5,52,0
field_out,86.2,-47,0
single,97.4,8,0
single,108.1,1,0
field_out,88.2,24,0
home_run,104.1,29,1
field_out,89.80000000000001,-5,0
field_out,95.1,36,0
single,104.3,12,0
field_out,87.10000000000001,18,0
field_out,88.30000000000001,20,0
field_out,56,58,0
single,64.10000000000001,30,0
single,111.3,11,0
field_out,58,-55,0
field_out,86.30000000000001,-31,0
field_out,92.5,7,0
field_out,93.8,-27,0
single,77.7,22,0
field_out,95,50,0
field_out,79.10000000000001,34,0
single,70.4,21,0
double,98.5,22,0
single,97,18,0
single,94.8,8,0
field_out,69.4,-5,0
home_run,102.3,28,1
field_out,81.5,42,0
field_out,94.6,19,0
field_out,91.1,-8,0
field_out,91.9,27,0
field_out,77.2,2,0
field_out,85.5,25,0
force_out,105.6,-7,0
field_out,82.9,-14,0
grounded_into_double_play,66.8,8,0
field_out,89.10000000000001,-14,0
field_out,104.8,4,0
single,94.5,11,0
single,98.2,7,0
field_out,83.7,30,0
single,107.7,17,0
field_out,104.2,35,0
grounded_into_double_play,104.3,-7,0
field_out,82.30000000000001,1,0
field_out,87.7,31,0
field_out,79.4,55,0
double,112.3,11,0
field_out,93.2,-2,0
home_run,96.7,35,1
field_out,94.6,34,0
force_out,72.2,-14,0
field_out,76.9,-41,0
field_out,70.10000000000001,20,0
single,27.3,-43,0
field_out,100.6,41,0
field_out,98.7,-26,0
field_out,103.9,38,0
field_out,87.2,-15,0
field_out,64.3,-73,0
field_out,81.2,57,0
single,74.9,50,0
field_out,66.2,-17,0
field_out,75.10000000000001,36,0
field_out,92,-13,0
field_out,87.30000000000001,22,0
force_out,81.80000000000001,10,0
field_out,108.9,20,0
field_out,100.2,29,0
field_out,96.9,31,0
field_out,85.60000000000001,-27,0
field_out,81.9,35,0
double_play,104.6,10,0
single,100.4,9,0
field_out,89,57,0
sac_fly,101.1,37,0
home_run,96.6,26,1
field_out,93.2,-23,0
field_out,83.5,29,0
home_run,107,20,1
single,99.3,4,0
single,101.1,18,0
field_out,96.9,37,0
force_out,73.2,-16,0
field_out,64.5,76,0
field_out,98.9,12,0
field_out,96.3,43,0
field_out,87.5,40,0
field_out,91.4,61,0
field_out,103.9,-23,0
field_out,90.3,17,0
grounded_into_double_play,100.9,-11,0
single,90.6,5,0
field_out,83.60000000000001,30,0
double,94.4,20,0
field_out,103.7,46,0
field_out,50.900000000000006,-79,0
field_out,94.7,66,0
double,70.9,32,0
field_out,103.7,15,0
field_out,66.60000000000001,-32,0
single,103.3,0,0
single,92.9,-18,0
field_out,106.5,14,0
field_out,89.2,50,0
field_out,76.9,-14,0
field_out,92.3,25,0
field_out,65.3,-33,0
field_out,75.5,0,0
field_out,83.10000000000001,-3,0
field_out,97.4,6,0
field_out,105.6,2,0
force_out,31.4,24,0
single,98.2,15,0
field_out,75.2,-27,0
field_out,85,47,0
field_out,94.8,-27,0
field_out,87.7,26,0
field_out,93,33,0
field_out,96.3,45,0
single,97.4,12,0
field_out,101.9,34,0
single,107.4,5,0
field_out,53.8,-86,0
grounded_into_double_play,86.10000000000001,-4,0
field_out,84.9,27,0
field_out,96.9,44,0
field_out,77.5,1,0
field_out,92.1,4,0
field_out,106.6,8,0
single,89.7,18,0
force_out,95.8,-17,0
single,91.1,16,0
single,71.2,-37,0
field_out,68.9,-23,0
field_out,72.8,65,0
force_out,96,0,0
single,75,7,0
single,79.80000000000001,29,0
field_out,88.4,-13,0
field_out,80.30000000000001,-18,0
field_out,62.6,-40,0
field_out,97.4,8,0
home_run,104,25,1
double,105.9,20,0
field_out,92.4,-4,0
field_out,98.1,24,0
field_out,101,15,0
field_out,86.7,40,0
field_out,97.6,33,0
single,76.7,10,0
field_out,89.7,23,0
field_out,88.9,23,0
field_out,59.400000000000006,-41,0
force_out,48.6,-26,0
single,59.3,11,0
field_out,67.5,-63,0
single,104.9,10,0
field_out,95.9,30,0
field_out,64,-1,0
field_out,95.6,54,0
field_out,65,-48,0
field_out,79.60000000000001,72,0
field_out,67.4,4,0
field_out,68,9,0
field_out,96.3,31,0
field_out,92.9,19,0
field_out,64,79,0
field_out,103.3,-4,0
single,72.8,27,0
double,99.4,22,0
single,84.30000000000001,22,0
field_out,82.10000000000001,-13,0
field_out,95,-1,0
field_out,102.5,37,0
field_out,96.5,34,0
grounded_into_double_play,69.8,-10,0
field_out,79.7,38,0
field_out,57.8,-60,0
field_out,82.7,46,0
field_out,103.7,6,0
single,90.2,7,0
single,107.2,10,0
double,83.4,3,0
field_out,67,65,0
field_out,108.2,-17,0
single,92.7,17,0
single,64.7,-27,0
field_out,59.7,-25,0
single,111.6,11,0
home_run,107.5,24,1
field_out,81.5,39,0
single,51.7,-29,0
field_out,88.2,34,0
single,100.1,-23,0
field_out,99,8,0
field_out,74.4,-34,0
double,105.6,15,0
double,104.2,20,0
grounded_into_double_play,96.9,-5,0
field_out,95.2,30,0
field_out,92.7,35,0
single,86.60000000000001,14,0
field_out,99.3,32,0
single,85.4,5,0
field_out,96,23,0
field_out,88.60000000000001,74,0
single,92.5,14,0
single,91,18,0
single,108.1,9,0
field_out,101.2,18,0
field_out,78.4,38,0
grounded_into_double_play,91.5,7,0
field_out,73.5,-41,0
field_out,88.10000000000001,-20,0
field_out,83.7,57,0
single,93.4,14,0
single,52.1,-72,0
single,100.1,2,0
double,74.9,44,0
field_out,92.5,35,0
double_play,57,18,0
field_out,109.1,6,0
field_out,64.7,68,0
single,92.9,-4,0
field_out,80.5,36,0
double,108.5,21,0
field_out,68.7,-8,0
single,76.10000000000001,21,0
sac_fly_double_play,92.2,17,0
field_out,88.5,-31,0
field_out,96.1,21,0
field_out,100.4,5,0
field_out,97.7,47,0
single,88.10000000000001,21,0
single,100.9,-9,0
double,96.3,18,0
field_out,100.7,30,0
field_out,89.7,12,0
field_out,88.80000000000001,-41,0
field_out,87.2,51,0
field_out,82.30000000000001,30,0
grounded_into_double_play,101.6,1,0
field_out,103.5,-6,0
field_out,100.3,5,0
field_out,96.4,33,0
field_out,84.10000000000001,57,0
field_out,91.6,0,0
field_out,96.1,29,0
field_out,70.5,11,0
single,59.7,28,0
single,91.8,5,0
field_out,74.7,-29,0
double,93.6,-21,0
field_out,92.7,32,0
grounded_into_double_play,106.7,-8,0
field_out,101.7,19,0
home_run,99.6,30,1
triple,104.7,23,0
field_out,79.2,-15,0
field_out,106.2,9,0
field_out,54.900000000000006,51,0
field_out,92.2,-30,0
field_out,101,0,0
field_out,90.4,-12,0
single,63.900000000000006,21,0
field_out,88.5,-11,0
field_out,91.8,3,0
field_out,81.7,-18,0
single,84.9,17,0
field_out,93.1,37,0
field_out,84.9,30,0
field_out,87.10000000000001,30,0
single,95.4,14,0
field_out,84.5,35,0
field_out,89.9,0,0
field_out,79.80000000000001,-14,0
home_run,110.5,23,1
field_out,101.5,7,0
field_out,71.5,70,0
single,89,11,0
force_out,84.80000000000001,-8,0
single,86.2,21,0
single,105.4,12,0
single,105.9,-6,0
field_out,70.5,-29,0
field_out,71.5,7,0
field_out,65.10000000000001,-37,0
single,102.2,9,0
field_out,88.9,-3,0
single,98.5,1,0
single,80.7,19,0
field_out,90.8,-8,0
single,96.1,17,0
double,102.1,25,0
field_out,93.7,-12,0
field_out,85.10000000000001,54,0
field_out,84.2,32,0
home_run,104.7,25,1
single,104,13,0
double,84,26,0
field_out,99.4,21,0
field_out,81.7,-26,0
double,102.3,16,0
single,110.9,13,0
home_run,106.8,26,1
double,106.1,18,0
field_out,97.5,35,0
field_out,92.7,44,0
double,109,19,0
home_run,99.9,29,1
single,101.8,-9,0
single,73.9,20,0
field_out,84.7,23,0
force_out,68.7,-25,0
single,106.4,10,0
single,93.5,11,0
field_out,75.60000000000001,79,0
field_out,105.8,-1,0
double,95.8,18,0
single,95.9,-4,0
field_out,87.5,-10,0
field_out,82.9,38,0
field_out,98.2,-3,0
field_out,100.2,-9,0
force_out,76.80000000000001,-9,0
field_out,69.8,41,0
single,104.4,4,0
field_out,63.400000000000006,74,0
field_out,98.1,6,0
grounded_into_double_play,98.6,-16,0
field_out,102.4,19,0
field_out,73.5,-25,0
field_out,81.5,61,0
field_out,104.9,25,0
double,99.4,20,0
field_out,82,22,0
field_out,65.8,-15,0
field_out,71.2,55,0
field_out,77.60000000000001,-18,0
single,104.8,15,0
double_play,95,10,0
field_out,63.7,38,0
field_out,85.5,-17,0
field_out,73.9,63,0
field_out,105.8,-7,0
field_out,74.5,-6,0
field_out,82.4,0,0
field_out,78.4,28,0
double,90.8,18,0
field_out,92.7,-12,0
double,109,14,0
field_out,98.1,18,0
field_out,106.1,36,0
field_out,83.5,62,0
force_out,87.30000000000001,-31,0
single,98.8,12,0
field_out,88.60000000000001,24,0
force_out,65,9,0
single,76.3,23,0
single,74.3,19,0
field_out,102.6,26,0
home_run,107.6,21,1
field_out,106.7,8,0
field_out,81.5,44,0
field_out,94.4,-20,0
single,85,11,0
single,99.8,15,0
field_out,85.2,34,0
single,107.8,13,0
double,101.2,21,0
field_out,89.80000000000001,37,0
field_out,94.7,31,0
field_out,89.10000000000001,-30,0
field_out,70.9,75,0
field_out,91.9,35,0
grounded_into_double_play,112.1,-3,0
field_out,82,35,0
field_out,62.2,-36,0
field_out,84.2,1,0
single,96.9,14,0
force_out,85.2,9,0
field_out,80.2,5,0
single,90.9,7,0
field_out,51.400000000000006,-50,0
field_out,88.60000000000001,-1,0
field_error,90.9,-18,0
single,74.5,21,0
field_out,87.80000000000001,-9,0
home_run,101.5,26,1
field_out,83.5,48,0
home_run,99.3,35,1
field_out,99.3,24,0
single,72.10000000000001,38,0
field_out,93.1,44,0
home_run,97.6,29,1
field_out,79.4,37,0
grounded_into_double_play,102.6,-10,0
field_out,99.8,20,0
single,76.9,24,0
field_out,82.80000000000001,53,0
field_out,80.60000000000001,39,0
field_out,85.60000000000001,35,0
field_out,84.2,48,0
single,86.2,3,0
field_out,82.9,62,0
field_out,84.7,-9,0
home_run,98.7,23,1
single,103.3,4,0
field_out,71.2,53,0
single,75.60000000000001,-2,0
single,105,4,0
field_out,71.10000000000001,-1,0
double,92.8,22,0
field_out,99.2,28,0
field_out,95.2,-11,0
field_out,89.9,40,0
field_error,86,-5,0
double,102.3,30,0
single,92.2,3,0
field_out,103.8,29,0
field_out,92,7,0
fielders_choice,82.10000000000001,-1,0
field_out,87.10000000000001,-6,0
single,74,9,0
field_out,99.8,-19,0
field_out,71.60000000000001,67,0
single,94.1,6,0
field_out,65.7,24,0
field_out,99.1,23,0
single,94.2,12,0
field_out,65.8,64,0
home_run,106.3,26,1
double,106.2,18,0
field_out,80.5,37,0
field_out,76.10000000000001,11,0
single,95.2,9,0
single,107.6,8,0
field_out,100.4,31,0
field_out,81.80000000000001,24,0
field_out,73.10000000000001,-12,0
home_run,99.8,38,1
field_out,66.9,-49,0
fielders_choice,64.9,-26,0
field_out,90.9,33,0
field_out,73.4,-16,0
single,79.10000000000001,9,0
field_out,89.30000000000001,45,0
field_out,95.2,29,0
field_out,95.1,-21,0
single,97.9,12,0
force_out,67,-6,0
field_out,97,-42,0
field_out,78.30000000000001,-22,0
single,57.900000000000006,-37,0
double,106.6,18,0
single,66.9,-13,0
field_out,96.6,32,0
field_out,96.8,20,0
single,72.9,38,0
single,97.9,13,0
field_out,88.4,70,0
field_out,86.7,62,0
field_out,84.4,-19,0
double,105.6,20,0
field_out,109,14,0
field_out,81,-45,0
single,102.1,-20,0
field_out,93.1,37,0
field_out,99.7,25,0
single,106.9,-5,0
field_out,64.10000000000001,-25,0
field_out,101.9,42,0
field_out,83,35,0
field_out,86,4,0
double,98,9,0
field_out,69.8,-27,0
field_out,81.7,-5,0
double,94.2,7,0
force_out,70.60000000000001,-35,0
field_out,72.60000000000001,-7,0
field_out,103.7,45,0
field_out,72.3,59,0
field_out,100.3,21,0
field_out,91.8,-13,0
single,111.7,10,0
field_out,70.2,67,0
field_out,87.30000000000001,39,0
field_out,90.3,-6,0
field_out,73.10000000000001,8,0
field_out,80.4,43,0
field_out,68.2,60,0
single,75.10000000000001,31,0
field_out,80.30000000000001,-7,0
sac_fly,98.5,30,0
field_out,91.3,-17,0
field_out,105.2,19,0
single,95.9,9,0
field_out,98.3,3,0
field_out,64.7,-5,0
double,97,15,0
grounded_into_double_play,101.8,-15,0
field_out,68.9,-22,0
grounded_into_double_play,98.1,-7,0
single,87.10000000000001,-15,0
field_out,92.2,38,0
single,88.9,14,0
field_out,96,-1,0
field_out,95.5,22,0
field_out,101.5,-16,0
double,98.9,36,0
field_out,62,32,0
single,109.6,0,0
field_out,80.60000000000001,35,0
field_out,98.8,33,0
field_out,75.7,-51,0
force_out,91.9,1,0
field_out,79.4,11,0
field_out,64.60000000000001,-10,0
single,84.7,17,0
double,109.9,13,0
single,78.30000000000001,3,0
field_out,98.9,19,0
field_out,95.8,6,0
single,96.5,0,0
field_out,82.80000000000001,27,0
field_out,82.60000000000001,53,0
single,88.7,10,0
field_out,79.60000000000001,49,0
single,106.5,-8,0
single,106.5,11,0
double,101.6,15,0
field_out,92.9,-6,0
home_run,96.8,36,1
field_out,96.6,19,0
grounded_into_double_play,93.3,-9,0
single,98,-4,0
double_play,103.9,9,0
single,79.5,12,0
field_out,77.5,3,0
grounded_into_double_play,92.6,3,0
field_error,75.8,-26,0
field_out,87.10000000000001,24,0
field_out,72.7,4,0
double,98.6,27,0
field_out,70,-46,0
field_out,66.7,-7,0
sac_fly,102.6,28,0
single,98.2,-2,0
single,101.4,15,0
field_out,104.6,34,0
field_out,82.80000000000001,36,0
field_out,93.7,33,0
force_out,103,-3,0
single,87.2,-17,0
field_out,96.5,30,0
single,96.3,11,0
force_out,86,-10,0
single,84.2,13,0
single,107.3,9,0
force_out,87.60000000000001,-16,0
force_out,93.2,-33,0
single,81.5,21,0
field_out,95.4,10,0
field_out,72.2,11,0
single,70.10000000000001,22,0
field_out,80.80000000000001,48,0
sac_fly,79.80000000000001,40,0
single,92.4,-14,0
force_out,61.6,-5,0
single,102.3,-3,0
field_out,62.400000000000006,-38,0
field_out,82.60000000000001,-16,0
field_out,92,-6,0
double,96.6,19,0
single,64.7,-55,0
field_out,94.7,1,0
field_out,92.4,-20,0
double,103.1,18,0
field_out,77.7,64,0
field_out,85.10000000000001,58,0
field_out,96.3,27,0
single,107.3,14,0
field_out,75.8,47,0
field_out,80.30000000000001,35,0
field_out,94.1,-15,0
field_out,73.10000000000001,-43,0
field_out,94,49,0
single,80.30000000000001,16,0
force_out,101.9,-31,0
field_out,96.4,-12,0
field_out,82.30000000000001,46,0
double,89.2,18,0
field_out,76.3,-42,0
single,86.9,26,0
single,78.2,50,0
single,69.2,35,0
field_out,84.5,-13,0
single,100.2,-1,0
field_out,73.2,-5,0
field_out,90.3,-4,0
force_out,88.80000000000001,-32,0
home_run,100.2,38,1
field_out,97.3,29,0
field_out,96.8,15,0
field_out,93.4,31,0
single,71,24,0
double,68.5,32,0
field_out,65.5,72,0
field_out,94.5,38,0
home_run,106.3,29,1
field_out,68.3,17,0
field_out,101.7,-6,0
double,108.7,18,0
field_out,86.5,57,0
single,97.6,12,0
single,70.7,21,0
field_out,99.3,-18,0
field_out,97.7,6,0
field_out,96.9,15,0
field_out,66.9,-11,0
field_out,96.1,-5,0
single,96.2,-6,0
field_out,99.7,-2,0
field_out,54.400000000000006,74,0
field_out,79.7,-3,0
field_out,91.2,53,0
single,97.4,11,0
field_out,104.2,-2,0
field_out,106.8,9,0
field_out,89.5,60,0
single,101.9,12,0
field_out,86.5,50,0
field_out,91.3,-20,0
field_out,99.2,44,0
field_out,78.30000000000001,-24,0
single,91.7,16,0
field_out,79.60000000000001,-26,0
single,96.5,-27,0
field_out,90.4,-1,0
single,101.2,15,0
field_out,95.5,22,0
field_out,87.9,49,0
force_out,93.3,-25,0
field_out,94.4,57,0
single,85.4,20,0
field_out,90.2,-17,0
home_run,95.6,29,1
field_out,86.80000000000001,51,0
field_out,94.9,-5,0
field_out,85.30000000000001,68,0
field_out,82.4,50,0
single,72.3,45,0
single,94.5,13,0
field_out,104.4,19,0
field_out,89.2,25,0
field_out,75.8,-8,0
single,96.5,-12,0
field_out,86.60000000000001,38,0
single,96.8,-3,0
single,102.2,8,0
single,48.8,-64,0
field_out,69.8,83,0
field_out,87.30000000000001,63,0
field_out,102.4,-25,0
field_out,70.3,78,0
sac_bunt,30,-36,0
field_out,53,-5,0
single,88.2,12,0
single,86.2,18,0
single,95.1,14,0
single,109.2,12,0
single,85,-18,0
grounded_into_double_play,102.8,1,0
single,69.8,35,0
sac_fly,95.2,22,0
double,104.6,23,0
field_out,105.9,15,0
field_out,102.4,1,0
field_out,70.4,1,0
field_out,84.5,-44,0
field_out,87,67,0
field_out,107.5,0,0
field_out,100.4,18,0
double,101.7,19,0
field_out,102.1,35,0
field_out,96.6,43,0
single,83.60000000000001,17,0
field_out,102.6,33,0
field_out,85.2,23,0
field_out,99.5,27,0
single,94.2,6,0
single,76.9,15,0
field_out,102.1,6,0
field_out,103.1,32,0
field_out,86.10000000000001,50,0
single,62,28,0
field_out,93.9,20,0
field_out,73.2,6,0
field_out,79.60000000000001,44,0
field_out,95.6,31,0
field_out,96.2,-1,0
field_out,82.4,60,0
double,99.2,0,0
field_out,68.2,-1,0
field_out,97.2,25,0
field_out,79.10000000000001,0,0
single,104.6,-11,0
field_out,101.2,-8,0
field_out,93.2,17,0
field_out,99.2,41,0
single,101.6,14,0
field_out,108.1,17,0
force_out,86.5,-50,0
double,104.1,10,0
field_out,104.8,4,0
double,94.2,-11,0
field_error,95.1,-8,0
single,95.2,3,0
single,91,14,0
home_run,105.7,30,1
single,97.3,8,0
field_out,102.1,-24,0
field_out,92.7,-1,0
grounded_into_double_play,89.30000000000001,-6,0
field_out,82.80000000000001,30,0
home_run,101.6,28,1
single,105.7,-2,0
field_out,74.4,12,0
field_out,86.80000000000001,10,0
field_out,88.30000000000001,69,0
single,97.6,11,0
field_out,74.5,78,0
field_out,85.2,71,0
sac_bunt,38.2,-21,0
triple,100.9,25,0
field_out,67.2,79,0
double,94.5,20,0
single,92.4,15,0
field_out,82.10000000000001,11,0
field_out,101.1,19,0
force_out,67.60000000000001,-7,0
field_out,73.9,14,0
field_out,67.5,54,0
home_run,110.6,23,1
field_out,87.10000000000001,50,0
double,88.5,30,0
field_out,99.8,-4,0
field_out,96.6,45,0
field_out,91.5,2,0
single,107.3,7,0
field_out,96.3,-3,0
field_error,86.2,-24,0
single,76.2,-37,0
field_out,79,24,0
field_out,101.7,31,0
single,88,-7,0
single,88.7,-1,0
field_out,68.4,11,0
single,88.2,1,0
single,101.9,12,0
field_error,102.2,3,0
field_out,88.30000000000001,5,0
single,94.4,7,0
single,95.5,16,0
field_out,98.3,66,0
field_out,91.3,46,0
single,81.30000000000001,11,0
field_out,92.7,-6,0
home_run,103.6,34,1
home_run,106.2,25,1
single,91,6,0
single,97.8,4,0
field_out,76.10000000000001,64,0
field_out,80.7,27,0
single,96.8,-5,0
field_out,95.4,-13,0
single,46.5,22,0
single,93.5,12,0
single,98.8,-1,0
single,90.4,24,0
home_run,104.8,24,1
field_out,99.4,-23,0
field_out,57.6,-23,0
field_out,92.5,22,0
field_out,95.4,51,0
field_out,88.7,65,0
field_out,61.7,-42,0
field_out,103.4,-3,0
field_out,94.8,29,0
field_out,53.3,45,0
field_out,85.9,-39,0
field_out,102,25,0
field_out,87.30000000000001,52,0
field_out,96.8,39,0
field_out,91.7,43,0
home_run,103.1,29,1
field_out,104.5,3,0
field_out,76.10000000000001,71,0
field_out,105.6,0,0
field_out,79.7,63,0
single,82.10000000000001,20,0
sac_fly,95.1,24,0
field_out,89.60000000000001,57,0
single,89.30000000000001,-4,0
single,101.4,15,0
field_out,61.5,62,0
field_out,87,66,0
field_out,59.5,-40,0
field_out,92.7,35,0
field_out,71.8,68,0
field_out,48.6,-59,0
field_out,86.5,-4,0
sac_fly,86.10000000000001,44,0
field_out,62,-23,0
field_out,77.60000000000001,74,0
field_out,85,-35,0
field_out,98.4,49,0
field_out,81.9,57,0
field_out,86,78,0
field_out,96.1,62,0
double,100.5,15,0
single,105.8,-1,0
field_out,77.2,64,0
field_out,74.9,38,0
field_out,35,58,0
field_out,71.8,39,0
field_out,78.7,-16,0
field_out,69.5,-37,0
single,65.2,33,0
field_out,82.60000000000001,11,0
field_out,66.8,-23,0
field_out,85.80000000000001,29,0
single,99,11,0
field_out,97.1,-28,0
home_run,107.9,22,1
single,97.9,18,0
field_out,51,-58,0
field_out,101.4,23,0
field_out,72,77,0
field_out,97.5,-49,0
field_out,96.4,22,0
field_out,97,40,0
field_out,100.7,-1,0
single,107.2,7,0
field_out,85.9,39,0
field_out,77.5,8,0
grounded_into_double_play,76.60000000000001,-34,0
single,98.9,12,0
field_out,88.60000000000001,19,0
field_error,104.2,-7,0
field_out,68.2,-12,0
field_out,91.8,26,0
grounded_into_double_play,91.7,-5,0
field_out,97.9,47,0
field_out,98.8,24,0
field_out,84.60000000000001,54,0
single,85.10000000000001,-3,0
single,71.60000000000001,22,0
field_out,69.3,-16,0
field_out,72.5,4,0
single,87.7,8,0
field_out,97.3,10,0
field_out,106.7,18,0
single,101.6,11,0
field_out,102.6,-15,0
field_out,101.3,9,0
sac_fly,86.2,32,0
field_out,97.8,73,0
field_out,97,18,0
field_out,97.2,22,0
field_out,93.9,52,0
field_out,90.8,46,0
force_out,84.10000000000001,-33,0
field_out,79,57,0
field_out,100,8,0
field_out,100.5,16,0
single,70.9,-18,0
sac_fly,91.5,29,0
field_out,83.10000000000001,27,0
field_out,72.4,63,0
single,94.2,10,0
field_out,62.2,1,0
field_out,72.8,-23,0
field_out,91.3,54,0
single,75.3,12,0
field_out,89.5,18,0
field_out,85.80000000000001,44,0
single,82.30000000000001,28,0
field_out,87.80000000000001,-2,0
single,110.1,10,0
field_out,109.8,7,0
field_out,86.5,26,0
field_out,100.8,46,0
field_out,73.4,-5,0
field_out,68.10000000000001,45,0
field_out,70.2,-67,0
single,110.5,15,0
field_out,78.60000000000001,-13,0
field_out,42.900000000000006,55,0
field_out,95.5,48,0
double,102.8,-7,0
field_out,103.3,10,0
single,94.9,9,0
force_out,88.2,-14,0
single,79.2,20,0
double,115.3,11,0
field_out,79.5,-14,0
field_out,91.6,54,0
field_out,71.9,60,0
field_out,94.2,22,0
field_out,87.30000000000001,-18,0
field_out,85.30000000000001,72,0
field_out,91.6,30,0
home_run,103.5,35,1
double,90.1,-13,0
single,71.2,15,0
field_out,76.7,58,0
field_out,81.7,39,0
field_out,93.9,-20,0
home_run,106.6,33,1
field_out,89.7,76,0
field_out,100.4,23,0
double,97.3,-5,0
single,103.8,4,0
single,86.2,9,0
field_out,90.9,-10,0
single,58,21,0
field_out,74,35,0
single,97.2,6,0
single,92.7,12,0
field_out,66.60000000000001,38,0
field_out,93.8,63,0
field_out,95.2,50,0
single,86.10000000000001,2,0
field_out,96.1,-17,0
single,88.5,4,0
single,99,-9,0
field_out,68.7,-36,0
field_out,93.5,77,0
single,96.4,5,0
field_out,96.2,36,0
single,85.80000000000001,11,0
field_out,70.2,49,0
field_out,73.5,-37,0
field_out,97.6,29,0
field_out,85.7,65,0
field_out,87.60000000000001,-10,0
field_out,80.60000000000001,46,0
field_out,106.6,28,0
field_out,85.60000000000001,73,0
field_out,102.3,28,0
field_out,93.1,-17,0
single,98.8,16,0
